# time  Amplitude  Phase
0.0 26.6387 62.5619
0.000277777777778 26.5836 63.0261
0.000555555555556 26.5292 58.0995
0.000833333333333 26.8945 62.2359
0.00111111111111 27.0845 62.2131
0.00138888888889 26.7106 62.324
0.00166666666667 26.6651 63.0313
0.00194444444444 26.7114 61.7991
0.00222222222222 26.8332 62.4451
0.0025 26.6158 63.0573
0.00277777777778 26.7967 61.8994
0.00305555555556 26.644 62.7895
0.00333333333333 26.8281 63.2896
0.00361111111111 26.6959 62.0875
0.00388888888889 26.7064 62.7533
0.00416666666667 26.7248 61.5488
0.00444444444444 26.555 60.556
0.00472222222222 26.7243 52.6848
0.005 26.604 61.746
0.00527777777778 26.7206 61.5989
0.00555555555556 26.8533 62.0932
0.00583333333333 26.6643 61.0244
0.00611111111111 26.7449 60.6047
0.00638888888889 26.6957 60.7928
0.00666666666667 26.863 61.6378
0.00694444444444 26.7066 60.6555
0.00722222222222 26.8376 61.0133
0.0075 26.8762 60.1318
0.00777777777778 26.7743 60.9843
0.00805555555556 26.8738 50.3605
0.00833333333333 26.7255 61.0268
0.00861111111111 27.624 59.4194
0.00888888888889 26.7235 58.2972
0.00916666666667 26.8909 60.264
0.00944444444444 27.1921 60.112
0.00972222222222 27.1292 59.8548
0.01 27.2852 60.0315
0.0102777777778 26.7516 59.401
0.0105555555556 26.9445 60.0178
0.0108333333333 26.6754 59.4374
0.0111111111111 26.9221 60.1442
0.0113888888889 26.9173 59.4418
0.0116666666667 26.8144 60.3555
0.0119444444444 26.7965 59.4453
0.0122222222222 26.773 59.9422
0.0125 26.811 59.4714
0.0127777777778 26.6441 59.9882
0.0130555555556 26.7954 58.7696
0.0133333333333 26.8627 59.5588
0.0136111111111 26.6631 59.0004
0.0138888888889 26.8224 58.7065
0.0141666666667 26.7738 58.8903
0.0144444444444 26.7853 59.5362
0.0147222222222 26.6682 58.8295
0.015 26.7334 59.3788
0.0152777777778 26.8132 58.3621
0.0155555555556 26.8191 59.5531
0.0158333333333 26.6096 57.5759
0.0161111111111 26.6147 58.3034
0.0163888888889 26.7434 47.0917
0.0166666666667 26.6892 57.7178
0.0169444444444 26.65 57.8581
0.0172222222222 26.5456 58.2506
0.0175 27.0282 57.5036
0.0177777777778 27.1949 57.7773
0.0180555555556 26.9787 56.6736
0.0183333333333 26.7762 56.7558
0.0186111111111 26.8165 57.7902
0.0188888888889 26.4883 58.5765
0.0191666666667 26.5967 57.296
0.0194444444444 26.7807 57.7947
0.0197222222222 26.365 58.4861
0.02 26.5686 57.6571
0.0202777777778 26.5471 58.2935
0.0205555555556 26.4081 56.4977
0.0208333333333 26.6754 57.857
0.0211111111111 26.5735 57.1914
0.0213888888889 26.6516 57.5381
0.0216666666667 26.4795 56.8926
0.0219444444444 26.5196 58.0597
0.0222222222222 26.7078 56.9684
0.0225 26.6082 57.0096
0.0227777777778 26.4853 56.2748
0.0230555555556 26.6832 56.5894
0.0233333333333 26.5727 56.4684
0.0236111111111 26.9602 56.9312
0.0238888888889 26.5448 57.2463
0.0241666666667 26.7364 56.5223
0.0244444444444 26.5052 56.937
0.0247222222222 26.5619 55.2437
0.025 26.5785 57.1815
0.0252777777778 26.4758 55.2242
0.0255555555556 26.4431 56.4165
0.0258333333333 26.5146 56.2853
0.0261111111111 26.6821 56.9214
0.0263888888889 26.4369 55.8617
0.0266666666667 26.731 56.377
0.0269444444444 26.7608 45.5393
0.0272222222222 26.9709 56.4455
0.0275 26.5456 55.7462
0.0277777777778 26.5751 56.172
0.0280555555556 26.6392 55.4882
0.0283333333333 26.7673 55.6376
0.0286111111111 26.5048 56.8554
0.0288888888889 26.7666 55.2943
0.0291666666667 26.3741 56.0744
0.0294444444444 26.6917 56.1104
0.0297222222222 26.5315 55.3038
0.03 26.7516 56.4273
0.0302777777778 26.3873 55.3257
0.0305555555556 26.6185 46.822
0.0308333333333 26.573 55.5659
0.0311111111111 26.4936 55.5841
0.0313888888889 26.5465 54.7295
0.0316666666667 26.596 55.689
0.0319444444444 26.7801 55.1949
0.0322222222222 26.6392 55.6523
0.0325 26.6931 54.8202
0.0327777777778 27.1057 55.6246
0.0330555555556 26.9071 54.6976
0.0333333333333 26.759 54.8754
0.0336111111111 26.6426 54.2738
0.0338888888889 26.8901 45.8965
0.0341666666667 26.8003 54.1773
0.0344444444444 26.6263 46.7904
0.0347222222222 27.1513 54.1465
0.035 26.9318 55.0329
0.0352777777778 26.5305 54.2142
0.0355555555556 26.767 53.6788
0.0358333333333 26.9942 54.147
0.0361111111111 26.8016 54.5311
0.0363888888889 26.7962 53.2434
0.0366666666667 26.7687 54.0457
0.0369444444444 26.9868 53.6034
0.0372222222222 26.8046 54.0723
0.0375 26.8959 53.4144
0.0377777777778 27.0449 54.147
0.0380555555556 26.8517 53.4139
0.0383333333333 26.9874 54.1642
0.0386111111111 27.0505 52.736
0.0388888888889 27.0591 54.3422
0.0391666666667 27.0695 52.998
0.0394444444444 27.0417 53.6874
0.0397222222222 27.1635 54.813
0.04 27.0247 53.9285
0.0402777777778 26.9899 53.0445
0.0405555555556 27.0229 53.7148
0.0408333333333 26.8791 54.0901
0.0411111111111 26.904 52.5436
0.0413888888889 26.9033 54.2446
0.0416666666667 27.4235 52.7689
0.0419444444444 26.8166 53.7911
0.0422222222222 27.0707 52.6255
0.0425 27.0336 52.9674
0.0427777777778 27.08 52.5512
0.0430555555556 26.9891 53.1654
0.0433333333333 27.3876 53.0687
0.0436111111111 27.0044 52.5468
0.0438888888889 27.0049 42.7937
0.0441666666667 27.0472 53.185
0.0444444444444 27.4367 41.8472
0.0447222222222 27.0676 52.4245
0.045 27.1902 53.5623
0.0452777777778 27.1672 51.7304
0.0455555555556 27.1097 52.8377
0.0458333333333 26.9663 53.1905
0.0461111111111 27.2772 51.9019
0.0463888888889 27.4097 53.1752
0.0466666666667 27.0674 51.3899
0.0469444444444 27.0866 52.8312
0.0472222222222 27.1046 52.2524
0.0475 27.314 52.9934
0.0477777777778 27.066 52.0636
0.0480555555556 27.1767 52.8853
0.0483333333333 27.1631 52.3112
0.0486111111111 27.1648 52.5696
0.0488888888889 27.4308 52.0175
0.0491666666667 27.1375 52.8573
0.0494444444444 27.1881 51.7688
0.0497222222222 27.0713 52.298
0.05 27.2435 52.178
0.0502777777778 27.2422 52.2774
0.0505555555556 27.167 52.032
0.0508333333333 27.2156 52.7165
0.0511111111111 27.229 52.2281
0.0513888888889 27.295 52.3738
0.0516666666667 27.1452 51.3534
0.0519444444444 27.1368 52.7654
0.0522222222222 27.1745 51.5249
0.0525 27.1128 52.3567
0.0527777777778 27.053 51.4739
0.0530555555556 27.0534 43.7874
0.0533333333333 27.2865 51.5433
0.0536111111111 26.9117 52.0203
0.0538888888889 27.2028 42.0754
0.0541666666667 27.4104 51.6191
0.0544444444444 27.2096 51.2858
0.0547222222222 27.1582 51.0751
0.055 27.8081 51.1916
0.0552777777778 27.1656 50.9373
0.0555555555556 26.8052 50.391
0.0558333333333 27.1891 51.6283
0.0561111111111 27.1326 52.3688
0.0563888888889 27.1686 50.7057
0.0566666666667 27.0507 51.2135
0.0569444444444 27.2659 51.5628
0.0572222222222 27.3229 50.1005
0.0575 27.3714 49.6194
0.0577777777778 27.2588 51.2482
0.0580555555556 27.3187 51.3995
0.0583333333333 27.3844 51.3968
0.0586111111111 27.2304 50.2158
0.0588888888889 27.1159 50.1964
0.0591666666667 27.3573 51.4856
0.0594444444444 27.0904 50.755
0.0597222222222 27.2089 42.184
0.06 27.7152 51.2012
0.0602777777778 27.2314 52.0901
0.0605555555556 27.1648 51.1602
0.0608333333333 27.3329 52.0933
0.0611111111111 27.49 50.7655
0.0613888888889 27.2613 51.7936
0.0616666666667 27.3647 51.4305
0.0619444444444 27.3771 42.5471
0.0622222222222 27.5155 50.9997
0.0625 27.2249 52.3169
0.0627777777778 27.1942 51.3722
0.0630555555556 27.5151 51.7348
0.0633333333333 27.197 51.3332
0.0636111111111 27.1211 52.3427
0.0638888888889 27.2404 51.5412
0.0641666666667 27.3752 51.924
0.0644444444444 27.1285 51.2255
0.0647222222222 27.3806 52.1469
0.065 27.4113 51.453
0.0652777777778 27.1359 51.9829
0.0655555555556 27.1776 51.3914
0.0658333333333 27.3702 52.1627
0.0661111111111 27.4008 51.4472
0.0663888888889 27.2477 42.4946
0.0666666666667 27.349 51.6988
0.0669444444444 27.3512 52.1917
0.0672222222222 27.3114 51.2779
0.0675 27.3372 45.8495
0.0677777777778 27.2476 51.4325
0.0680555555556 27.4983 52.7081
0.0683333333333 27.2332 51.353
0.0686111111111 27.3012 52.3161
0.0688888888889 27.5318 51.7171
0.0691666666667 27.4876 52.2665
0.0694444444444 27.4488 51.8578
0.0697222222222 27.9429 52.6326
0.07 27.6741 51.2325
0.0702777777778 27.6423 52.7925
0.0705555555556 27.4933 51.6757
0.0708333333333 27.829 52.4056
0.0711111111111 27.6033 51.5144
0.0713888888889 27.5145 52.9036
0.0716666666667 27.5772 51.9094
0.0719444444444 27.6322 52.324
0.0722222222222 27.6754 50.891
0.0725 27.6912 52.034
0.0727777777778 27.7683 50.9569
0.0730555555556 27.5746 52.7082
0.0733333333333 27.728 52.1053
0.0736111111111 27.7245 52.5896
0.0738888888889 27.7809 51.6799
0.0741666666667 27.7778 52.476
0.0744444444444 27.9777 51.3908
0.0747222222222 27.8574 52.6131
0.075 27.7402 51.9249
0.0752777777778 27.7634 52.2933
0.0755555555556 27.8733 51.3254
0.0758333333333 27.7222 52.7426
0.0761111111111 27.9616 51.0247
0.0763888888889 27.9189 51.7983
0.0766666666667 28.0067 50.0662
0.0769444444444 28.0166 51.0556
0.0772222222222 27.898 50.5963
0.0775 28.0275 50.8632
0.0777777777778 28.7916 50.2763
0.0780555555556 27.9143 50.8318
0.0783333333333 27.9341 50.1497
0.0786111111111 28.1427 51.2032
0.0788888888889 27.8693 49.8167
0.0791666666667 28.0858 50.8096
0.0794444444444 28.086 49.8911
0.0797222222222 28.1808 50.8964
0.08 27.9855 49.6326
0.0802777777778 28.0884 50.9147
0.0805555555556 28.1168 49.513
0.0808333333333 28.0677 50.3643
0.0811111111111 28.0519 49.7496
0.0813888888889 28.0632 49.8941
0.0816666666667 28.0307 49.663
0.0819444444444 27.9324 50.1787
0.0822222222222 27.9461 49.6559
0.0825 28.0722 49.9968
0.0827777777778 27.9954 49.2621
0.0830555555556 28.0107 49.9608
0.0833333333333 27.9963 49.2657
0.0836111111111 28.1252 50.2687
0.0838888888889 27.9263 49.1034
0.0841666666667 27.8958 49.941
0.0844444444444 28.0775 49.0211
0.0847222222222 27.8565 50.0481
0.085 28.1597 49.4634
0.0852777777778 28.541 49.0225
0.0855555555556 28.143 48.576
0.0858333333333 28.0242 49.4067
0.0861111111111 28.0492 48.8968
0.0863888888889 28.2616 48.9416
0.0866666666667 28.107 48.7703
0.0869444444444 28.1908 48.3422
0.0872222222222 28.2312 50.2505
0.0875 28.267 48.5965
0.0877777777778 28.0435 49.2004
0.0880555555556 28.008 50.3155
0.0883333333333 28.2512 49.0429
0.0886111111111 28.4132 48.3611
0.0888888888889 28.1291 40.7025
0.0891666666667 28.0758 48.0576
0.0894444444444 28.1041 49.5322
0.0897222222222 28.0019 48.4055
0.09 28.0771 48.8715
0.0902777777778 28.2788 49.346
0.0905555555556 28.0602 48.7345
0.0908333333333 28.1672 49.6931
0.0911111111111 28.1674 48.9598
0.0913888888889 28.2737 49.6203
0.0916666666667 28.3323 48.4052
0.0919444444444 28.3101 48.5388
0.0922222222222 28.3378 47.6569
0.0925 27.9157 48.3803
0.0927777777778 28.186 47.7503
0.0930555555556 28.1192 48.3141
0.0933333333333 28.4152 47.7683
0.0936111111111 28.016 47.7387
0.0938888888889 28.0435 47.8059
0.0941666666667 28.3745 48.0068
0.0944444444444 28.1869 47.0782
0.0947222222222 28.1143 48.4221
0.095 28.0347 47.0575
0.0952777777778 28.0447 47.8836
0.0955555555556 28.1524 47.4996
0.0958333333333 28.0286 48.2636
0.0961111111111 28.2289 47.4519
0.0963888888889 27.946 48.0251
0.0966666666667 28.0343 47.4576
0.0969444444444 28.094 38.2552
0.0972222222222 28.0294 47.5118
0.0975 28.0255 47.9588
0.0977777777778 28.0225 47.3936
0.0980555555556 28.206 48.1296
0.0983333333333 27.8508 47.3282
0.0986111111111 27.9203 48.1701
0.0988888888889 27.8867 48.8886
0.0991666666667 27.9831 48.2592
0.0994444444444 27.9307 46.9226
0.0997222222222 27.8244 48.0045
0.1 28.0098 49.0933
0.100277777778 27.9218 48.1197
0.100555555556 27.7907 49.2493
0.100833333333 27.9734 47.4466
0.101111111111 27.9344 49.0495
0.101388888889 27.8853 47.6743
0.101666666667 27.821 48.3519
0.101944444444 28.0828 47.795
0.102222222222 27.8023 48.4138
0.1025 27.8263 47.8654
0.102777777778 28.1183 48.6033
0.103055555556 27.9791 48.4403
0.103333333333 27.8882 47.5915
0.103611111111 27.6595 47.9122
0.103888888889 27.9223 48.5335
