# time  Amplitude  Phase
0.0 22.026 -93.4109
0.000277777777778 22.0868 -92.9981
0.000555555555556 22.1909 -93.6112
0.000833333333333 21.9003 -92.3804
0.00111111111111 21.7849 -93.5982
0.00138888888889 22.1134 -92.1799
0.00166666666667 21.8529 -91.7803
0.00194444444444 22.1872 -93.3543
0.00222222222222 22.1372 -92.2046
0.0025 22.2284 -92.1111
0.00277777777778 21.9198 -91.8207
0.00305555555556 22.1886 -91.4308
0.00333333333333 22.1768 -91.3478
0.00361111111111 22.2116 -91.9724
0.00388888888889 22.4252 -91.626
0.00416666666667 22.1726 -91.9986
0.00444444444444 22.1674 -92.4557
0.00472222222222 22.2545 -92.1239
0.005 21.9275 -91.0492
0.00527777777778 22.0959 -91.7405
0.00555555555556 22.4774 -90.7169
0.00583333333333 22.2393 -92.8317
0.00611111111111 22.2251 -91.622
0.00638888888889 22.2413 -92.4634
0.00666666666667 22.2806 -91.7375
0.00694444444444 21.9958 -92.4769
0.00722222222222 22.3629 -91.3099
0.0075 22.6918 -92.4802
0.00777777777778 22.7154 -91.6998
0.00805555555556 22.4136 -92.128
0.00833333333333 22.2133 -91.3384
0.00861111111111 22.7014 -92.0707
0.00888888888889 22.2832 -91.3861
0.00916666666667 22.4459 -92.1619
0.00944444444444 22.6168 -91.1026
0.00972222222222 22.5088 -92.5714
0.01 22.6376 -91.4143
0.0102777777778 22.2675 -92.2074
0.0105555555556 22.3569 -91.1609
0.0108333333333 22.7666 -91.7877
0.0111111111111 22.1145 -91.2666
0.0113888888889 22.5438 -91.7689
0.0116666666667 22.55 -91.3375
0.0119444444444 22.0996 -92.5083
0.0122222222222 22.4484 -91.3448
0.0125 22.4891 -92.1788
0.0127777777778 22.4765 -91.53
0.0130555555556 22.5922 -91.8692
0.0133333333333 22.4649 -91.3684
0.0136111111111 22.272 -91.7788
0.0138888888889 22.6165 -91.0493
0.0141666666667 22.4634 -92.3505
0.0144444444444 22.6509 -91.154
0.0147222222222 22.5481 -91.5587
0.015 22.7249 -91.0246
0.0152777777778 22.7388 -91.8889
0.0155555555556 22.513 -91.0032
0.0158333333333 22.2514 -92.4037
0.0161111111111 22.6361 -91.6462
0.0163888888889 22.5842 -91.115
0.0166666666667 22.6911 -91.6227
0.0169444444444 22.8258 -92.7287
0.0172222222222 22.5838 -91.8377
0.0175 22.5484 -92.5403
0.0177777777778 22.9523 -91.5882
0.0180555555556 22.476 -92.3663
0.0183333333333 22.2988 -92.3268
0.0186111111111 22.7237 -90.6561
0.0188888888889 22.2533 -91.7247
0.0191666666667 22.7966 -92.7258
0.0194444444444 22.6421 -91.55
0.0197222222222 22.504 -90.8489
0.02 22.7412 -91.9289
0.0202777777778 22.3916 -91.0629
0.0205555555556 22.3948 -91.689
0.0208333333333 22.7876 -90.8993
0.0211111111111 22.5562 -92.2133
0.0213888888889 22.34 -91.0595
0.0216666666667 22.484 -91.8705
0.0219444444444 22.3799 -90.5902
0.0222222222222 22.2729 -92.2885
0.0225 22.5557 -91.0599
0.0227777777778 22.5487 -92.0835
0.0230555555556 22.3387 -91.366
0.0233333333333 22.3665 -91.9021
0.0236111111111 22.4047 -91.3403
0.0238888888889 22.5988 -90.7157
0.0241666666667 22.6733 -91.2396
0.0244444444444 22.825 -90.6644
0.0247222222222 22.7082 -91.6294
0.025 22.2869 -90.282
0.0252777777778 22.4838 -91.7669
0.0255555555556 22.8788 -90.5958
0.0258333333333 22.4657 -91.7201
0.0261111111111 22.4351 -90.2346
0.0263888888889 22.575 -91.0934
0.0266666666667 22.5234 -90.4132
0.0269444444444 22.7462 -91.5219
0.0272222222222 22.679 -90.5667
0.0275 22.6194 -91.4289
0.0277777777778 22.4853 -90.6989
0.0280555555556 22.9089 -91.7867
0.0283333333333 22.6939 -90.8521
0.0286111111111 22.8375 -89.2567
0.0288888888889 22.6274 -91.4763
0.0291666666667 22.3518 -90.7862
0.0294444444444 22.6776 -89.8841
0.0297222222222 22.5952 -90.7951
0.03 22.8621 -89.2033
0.0302777777778 22.7005 -90.7153
0.0305555555556 22.8398 -89.7077
0.0308333333333 22.9334 -90.5984
0.0311111111111 22.7987 -89.5893
0.0313888888889 22.9503 -89.9819
0.0316666666667 22.8629 -90.0702
0.0319444444444 22.8796 -90.2631
0.0322222222222 22.6033 -89.7133
0.0325 22.8776 -90.5107
0.0327777777778 22.9004 -89.9155
0.0330555555556 22.873 -90.1239
0.0333333333333 22.957 -89.3013
0.0336111111111 23.329 -90.4897
0.0338888888889 22.8283 -89.3099
0.0341666666667 23.3956 -90.4522
0.0344444444444 22.8803 -89.3145
0.0347222222222 22.8572 -90.6812
0.035 23.0006 -89.3581
0.0352777777778 23.289 -90.315
0.0355555555556 23.0738 -89.589
0.0358333333333 23.0287 -89.9886
0.0361111111111 23.014 -89.6379
0.0363888888889 22.9836 -90.0517
0.0366666666667 23.2253 -89.3428
0.0369444444444 23.0182 -90.5756
0.0372222222222 22.9014 -89.4719
0.0375 23.1129 -90.4271
0.0377777777778 23.1274 -89.3803
0.0380555555556 23.3238 -90.366
0.0383333333333 23.3171 -89.8391
0.0386111111111 23.0888 -90.4706
0.0388888888889 23.1289 -89.3548
0.0391666666667 23.2643 -90.5358
0.0394444444444 23.1846 -89.428
0.0397222222222 23.0205 -88.8386
0.04 23.3279 -89.9569
0.0402777777778 23.0004 -90.7521
0.0405555555556 23.0265 -89.4995
0.0408333333333 23.3694 -89.3523
0.0411111111111 23.1562 -89.9892
0.0413888888889 23.4352 -89.0646
0.0416666666667 23.4704 -89.8554
