# time  Amplitude  Phase
0.0 3.52133 -126.195
0.000277777777778 3.7458 177.683
0.000555555555556 3.50552 100.534
0.000833333333333 3.01524 29.27
0.00111111111111 3.88258 10.6327
0.00138888888889 3.53574 -10.6245
0.00166666666667 3.17015 30.7235
0.00194444444444 3.27152 40.2538
0.00222222222222 3.69474 -10.0988
0.0025 3.42402 -1.59702
0.00277777777778 3.16784 55.2284
0.00305555555556 3.39311 52.8006
0.00333333333333 3.147 96.9607
0.00361111111111 3.31209 127.762
0.00388888888889 3.24638 -158.594
0.00416666666667 3.56504 -101.917
0.00444444444444 3.33871 -103.897
0.00472222222222 3.49227 172.399
0.005 3.17885 -125.385
0.00527777777778 3.75315 -136.838
0.00555555555556 3.97405 139.372
0.00583333333333 3.58892 -143.785
0.00611111111111 3.29233 154.933
0.00638888888889 3.02178 84.0382
0.00666666666667 3.24675 173.46
0.00694444444444 3.31003 -110.62
0.00722222222222 3.31424 -160.232
0.0075 3.38238 133.497
0.00777777777778 3.27743 -148.632
0.00805555555556 3.39283 -111.802
0.00833333333333 3.53693 -83.9312
0.00861111111111 4.5609 -83.7273
0.00888888888889 3.33966 -27.433
0.00916666666667 3.18043 12.3303
0.00944444444444 3.64342 -56.8474
0.00972222222222 4.18409 -29.1652
0.01 3.81193 48.8464
0.0102777777778 3.67736 22.0404
0.0105555555556 3.16511 76.2686
0.0108333333333 3.45816 14.2103
0.0111111111111 3.30858 -71.7065
0.0113888888889 3.12826 -69.9871
0.0116666666667 3.21953 -27.7158
0.0119444444444 3.07245 -87.4833
0.0122222222222 3.4278 -53.8494
0.0125 3.39564 2.84417
0.0127777777778 3.05607 42.7334
0.0130555555556 3.37177 17.1113
0.0133333333333 3.28914 19.5711
0.0136111111111 3.20418 57.9282
0.0138888888889 3.02347 118.837
0.0141666666667 3.38686 40.0428
0.0144444444444 3.23072 6.93895
0.0147222222222 3.21232 1.42981
0.015 3.09259 41.595
0.0152777777778 3.28 106.43
0.0155555555556 3.51409 115.798
0.0158333333333 3.49151 130.889
0.0161111111111 3.27851 41.2503
0.0163888888889 3.08524 88.2235
0.0166666666667 3.46308 147.559
0.0169444444444 3.48468 126.373
0.0172222222222 3.38357 -171.476
0.0175 3.86853 115.78
0.0177777777778 3.75284 -174.112
0.0180555555556 4.13351 -103.345
0.0183333333333 3.34437 -120.855
0.0186111111111 4.04522 -81.3258
0.0188888888889 3.36798 -7.68532
0.0191666666667 3.32057 -16.1783
0.0194444444444 3.38663 -17.1135
0.0197222222222 3.53854 27.4492
0.02 3.36417 80.4145
0.0202777777778 3.62637 124.406
0.0205555555556 3.07285 -164.303
0.0208333333333 3.36734 -134.044
0.0211111111111 3.22726 -81.8841
0.0213888888889 3.68251 4.79037
0.0216666666667 3.14733 -0.114102
0.0219444444444 3.38189 -63.7875
0.0222222222222 3.30172 26.1531
0.0225 3.30921 115.046
0.0227777777778 3.29478 131.533
0.0230555555556 3.13949 144.973
0.0233333333333 3.35227 61.5756
0.0236111111111 3.78626 149.249
0.0238888888889 3.92393 100.354
0.0241666666667 3.58579 178.868
0.0244444444444 3.13059 -155.349
0.0247222222222 3.70306 163.162
0.025 4.02213 -149.756
0.0252777777778 3.50805 137.991
0.0255555555556 3.4062 -169.683
0.0258333333333 3.60755 -95.8862
0.0261111111111 3.73607 -142.075
0.0263888888889 3.27132 -65.0509
0.0266666666667 3.49428 -71.0462
0.0269444444444 3.40052 -71.8914
